"Word"	"dlugosc"	"FreqSum"	"ContCount"	"Contextual Diversity"	"Frequency Per 1 Mln"	"Nchar"
"nad"	3	18981	7682	"0,6910759266"	"428,8819721196"	5
"idź"	3	18251	6893	"0,6200971573"	"412,3882496643"	6
"ani"	3	16362	6671	"0,6001259446"	"369,7079185435"	8
"sie"	3	16012	2498	"0,2247211227"	"361,7999694211"	9
"dni"	3	15557	6740	"0,6063332134"	"351,5196355619"	6
"sir"	3	13481	1915	"0,1722741994"	"304,6142001958"	6
"och"	3	13430	2437	"0,2192335372"	"303,4618990379"	8
"dom"	3	12979	5288	"0,4757106873"	"293,2719417402"	7
"mów"	3	12621	6256	"0,5627923714"	"285,183239495"	6
"bym"	3	12588	6185	"0,5564051817"	"284,4376328634"	5
"lub"	3	11785	5161	"0,4642857143"	"266,2945381626"	8
"noc"	3	11362	5556	"0,4998200792"	"256,7372167946"	8
"idę"	3	10768	5648	"0,5080964376"	"243,3162974268"	7
"źle"	3	10746	5804	"0,5221302627"	"242,8192263391"	3
"weź"	3	10628	5360	"0,4821878374"	"240,1531177779"	8
"oto"	3	10051	4934	"0,4438646995"	"227,116298796"	6
"byś"	3	9885	5097	"0,4585282476"	"223,365671498"	7
"ego"	3	9570	3388	"0,3047858942"	"216,2485172878"	6
"dać"	3	9224	5506	"0,4953220583"	"208,4309447268"	9
"dam"	3	9068	5266	"0,4737315581"	"204,9062588322"	3
"and"	3	8973	1225	"0,1102015113"	"202,759815499"	6
"one"	3	8806	4084	"0,3673983447"	"198,9865940605"	7
"bóg"	3	8224	3382	"0,3042461317"	"185,836804377"	10
"gra"	3	7952	4032	"0,362720403"	"179,6911982018"	4
"żyć"	3	7800	4476	"0,4026628284"	"176,2568888687"	3
"rób"	3	7705	4615	"0,4151673264"	"174,1104455354"	8
"syn"	3	7145	3263	"0,293540842"	"161,4577269396"	11
"mąż"	3	7023	3330	"0,29956819"	"158,7012418169"	10
"pół"	3	6812	4032	"0,362720403"	"153,9338782031"	11
"uda"	3	6541	4004	"0,3602015113"	"147,8108661683"	8
"taa"	3	6524	1570	"0,1412378553"	"147,4267657823"	9
"zły"	3	6451	4021	"0,3617308384"	"145,7773935368"	8
"rok"	3	6389	3683	"0,3313242173"	"144,3765568351"	7
"ode"	3	6355	4314	"0,3880892407"	"143,6083560632"	10
"moi"	3	5810	3762	"0,3384310903"	"131,2945495726"	4
"zna"	3	5735	3738	"0,3362720403"	"129,5999890464"	8
"złe"	3	5540	3749	"0,3372616049"	"125,1941316782"	9
"don"	3	5328	842	"0,0757466715"	"120,404173924"	10
"dół"	3	5247	3065	"0,2757286794"	"118,5740485557"	13
"dał"	3	5155	3546	"0,3189996402"	"116,4953876435"	11
"joe"	3	4670	942	"0,0847427132"	"105,5372295738"	10
"fbi"	3	4214	1069	"0,0961676862"	"95,2343015743"	8
"hey"	3	4142	860	"0,077365959"	"93,6075234692"	3
"zła"	3	4065	2692	"0,2421734437"	"91,8677746622"	6
"tom"	3	4010	1037	"0,0932889529"	"90,625096943"	7
"for"	3	3736	470	"0,0422813962"	"84,4343024871"	8
"ach"	3	3693	1891	"0,1701151493"	"83,4627544521"	4
"los"	3	3625	2021	"0,1818100036"	"81,9263529083"	7
"sen"	3	3594	1978	"0,1779417057"	"81,2259345575"	9
"cel"	3	3517	2111	"0,1899064412"	"79,4861857505"	14
"ból"	3	3423	2126	"0,1912558474"	"77,3623365577"	7
"ben"	3	3413	623	"0,0560453401"	"77,1363951542"	5
"cie"	3	3299	1069	"0,0961676862"	"74,5606631543"	11
"gry"	3	3258	1943	"0,174793091"	"73,6343033999"	8
"psa"	3	3258	1596	"0,1435768262"	"73,6343033999"	8
"wow"	3	3198	1454	"0,1308024469"	"72,278654979"	4
"san"	3	3183	1121	"0,1008456279"	"71,9397428737"	7
"bob"	3	3182	746	"0,0671104714"	"71,9171487334"	6
"can"	3	3110	397	"0,0357142857"	"70,2903706282"	8
"moc"	3	2997	1499	"0,1348506657"	"67,7372327687"	6
"all"	3	2977	528	"0,0474991004"	"67,2853499617"	3
"oko"	3	2948	2040	"0,1835192515"	"66,6301198915"	8
"are"	3	2879	308	"0,0277078086"	"65,0711242074"	5
"ray"	3	2853	551	"0,04956819"	"64,4836765583"	4
"but"	3	2835	651	"0,0585642317"	"64,076982032"	5
"tuż"	3	2697	2015	"0,1812702411"	"60,9589906637"	5
"hmm"	3	2679	1104	"0,0993163008"	"60,5522961374"	9
"max"	3	2646	413	"0,0371536524"	"59,8066895059"	11
"dna"	3	2608	1239	"0,1114609572"	"58,9481121726"	6
"not"	3	2555	290	"0,0260885211"	"57,750622734"	5
"jim"	3	2526	759	"0,0682799568"	"57,0953926639"	8
"juz"	3	2450	804	"0,0723281756"	"55,3782379973"	8
"lee"	3	2409	657	"0,0591039942"	"54,451878243"	6
"ilu"	3	2280	1727	"0,1553616409"	"51,5372341379"	5
"grę"	3	2257	1522	"0,1369197553"	"51,0175689098"	8
"owi"	3	2209	1344	"0,120906801"	"49,933050173"	11
"new"	3	2192	990	"0,0890608132"	"49,5489497871"	15
"get"	3	2189	314	"0,0282475711"	"49,481167366"	13
"pić"	3	2142	1587	"0,1427671824"	"48,4192427696"	12
"żył"	3	2123	1681	"0,1512234617"	"47,9899541029"	9
"usa"	3	2121	940	"0,0845627924"	"47,9447658222"	9
"idą"	3	2047	1640	"0,1475350846"	"46,2727994364"	6
"mil"	3	2007	1161	"0,1044440446"	"45,3690338224"	10
"van"	3	1998	607	"0,0546059734"	"45,1656865592"	10
"obu"	3	1991	1636	"0,1471752429"	"45,0075275768"	10
"she"	3	1967	208	"0,0187117668"	"44,4652682084"	8
"dan"	3	1959	493	"0,0443504858"	"44,2845150856"	10
"out"	3	1956	419	"0,0376934149"	"44,2167326645"	8
"nóż"	3	1953	1160	"0,1043540842"	"44,1489502435"	10
"śpi"	3	1917	1438	"0,1293630802"	"43,3355611909"	5
"wóz"	3	1911	1079	"0,0970672904"	"43,1999963488"	5
"psy"	3	1911	1171	"0,1053436488"	"43,1999963488"	6
"now"	3	1909	312	"0,0280676502"	"43,1548080681"	7
"bój"	3	1887	1417	"0,1274739115"	"42,6577369804"	8
"nos"	3	1842	1259	"0,1132601655"	"41,6410006647"	6
"sto"	3	1826	1264	"0,1137099676"	"41,2794944191"	7
"ted"	3	1817	375	"0,0337351565"	"41,0761471559"	7
"amy"	3	1817	278	"0,025008996"	"41,0761471559"	9
"kod"	3	1803	965	"0,0868118028"	"40,759829191"	6
"man"	3	1790	513	"0,0461496941"	"40,4661053665"	8
"boi"	3	1751	1373	"0,1235156531"	"39,5849338928"	10
"lot"	3	1710	955	"0,0859121986"	"38,6585741385"	6
"got"	3	1704	283	"0,0254587981"	"38,5230092964"	7
"łeb"	3	1703	1235	"0,1111011155"	"38,500415156"	3
"móc"	3	1679	1375	"0,1236955739"	"37,9581557876"	6
"aha"	3	1676	1007	"0,0905901403"	"37,8903733666"	6
"las"	3	1636	860	"0,077365959"	"36,9866077526"	14
"let"	3	1632	282	"0,0253688377"	"36,8962311912"	14
"cos"	3	1583	588	"0,0528967254"	"35,7891183141"	9
"cia"	3	1571	488	"0,0439006837"	"35,5179886299"	8
"huh"	3	1521	599	"0,05388629"	"34,3882816124"	10
"cud"	3	1505	1015	"0,0913098237"	"34,0267753668"	13
"how"	3	1497	273	"0,024559194"	"33,846022244"	9
"rąk"	3	1495	1220	"0,1097517092"	"33,8008339633"	6
"sąd"	3	1472	847	"0,0761964736"	"33,2811687352"	4
"akt"	3	1440	1031	"0,0927491904"	"32,558156244"	12
"see"	3	1426	250	"0,0224901044"	"32,2418382791"	9
"ust"	3	1425	1133	"0,1019251529"	"32,2192441388"	9
"him"	3	1417	142	"0,0127743793"	"32,038491016"	10
"her"	3	1413	184	"0,0165527168"	"31,9481144546"	10
"ono"	3	1407	1152	"0,1036344009"	"31,8125496125"	7
"sił"	3	1386	1074	"0,0966174883"	"31,3380726652"	6
"bać"	3	1336	1071	"0,0963476071"	"30,2083656477"	4
"swe"	3	1283	843	"0,0758366319"	"29,0108762091"	9
"jaj"	3	1276	986	"0,0887009716"	"28,8527172267"	9
"leo"	3	1271	234	"0,0210507377"	"28,7397465249"	5
"bić"	3	1270	920	"0,082763584"	"28,7171523846"	10
"zło"	3	1257	829	"0,074577186"	"28,42342856"	6
"big"	3	1248	440	"0,0395825837"	"28,2200812969"	11
"dar"	3	1244	890	"0,0800647715"	"28,1297047355"	7
"złą"	3	1238	1041	"0,0936487945"	"27,9941398934"	5
"who"	3	1223	257	"0,0231198273"	"27,6552277881"	4
"www"	3	1194	854	"0,0768261965"	"26,999997718"	11
"mac"	3	1189	280	"0,0251889169"	"26,8870270162"	6
"aie"	3	1183	51	"0,0045879813"	"26,7514621741"	11
"yes"	3	1183	187	"0,0168225981"	"26,7514621741"	11
"swą"	3	1178	808	"0,0726880173"	"26,6384914724"	6
"bar"	3	1173	807	"0,0725980569"	"26,5255207706"	8
"why"	3	1171	184	"0,0165527168"	"26,4803324899"	6
"tim"	3	1171	327	"0,0294170565"	"26,4803324899"	8
"red"	3	1154	412	"0,037063692"	"26,096232104"	7
"snu"	3	1138	902	"0,0811442965"	"25,7347258584"	6
"oka"	3	1135	999	"0,089870457"	"25,6669434374"	5
"ron"	3	1127	222	"0,0199712127"	"25,4861903146"	3
"roy"	3	1110	223	"0,0200611731"	"25,1020899286"	3
"oby"	3	1110	917	"0,0824937028"	"25,1020899286"	5
"byc"	3	1100	377	"0,0339150774"	"24,8761485251"	8
"koń"	3	1090	605	"0,0544260525"	"24,6502071216"	12
"say"	3	1086	222	"0,0199712127"	"24,5598305602"	7
"kot"	3	1079	635	"0,0571248651"	"24,4016715778"	8
"sny"	3	1072	649	"0,0583843109"	"24,2435125953"	9
"tez"	3	1066	420	"0,0377833753"	"24,1079477532"	6
"emu"	3	1062	767	"0,0689996402"	"24,0175711918"	8
"gaz"	3	1055	683	"0,0614429651"	"23,8594122094"	5
"żal"	3	1054	857	"0,0770960777"	"23,836818069"	5
"baw"	3	1041	894	"0,0804246132"	"23,5430942445"	5
"typ"	3	1041	843	"0,0758366319"	"23,5430942445"	8
"zoe"	3	1041	137	"0,0123245772"	"23,5430942445"	8
"bal"	3	1026	419	"0,0376934149"	"23,2041821392"	5
"łap"	3	1018	789	"0,0709787693"	"23,0234290164"	7
"każ"	3	1017	851	"0,0765563152"	"23,0008348761"	4
"kup"	3	1012	816	"0,0734077006"	"22,8878641743"	6
"pas"	3	1004	651	"0,0585642317"	"22,7071110515"	6
"nóg"	3	976	850	"0,0764663548"	"22,0744751217"	13
"his"	3	973	173	"0,0155631522"	"22,0066927007"	12
"raj"	3	972	376	"0,0338251169"	"21,9840985603"	11
"wal"	3	967	701	"0,0630622526"	"21,8711278586"	6
"won"	3	960	375	"0,0337351565"	"21,7129688761"	7
"jin"	3	955	132	"0,0118747751"	"21,5999981744"	8
"pij"	3	954	642	"0,057754588"	"21,577404034"	5
"way"	3	939	272	"0,0244692335"	"21,2384919288"	12
"day"	3	922	350	"0,0314861461"	"20,8543915429"	14
"bok"	3	917	758	"0,0681899964"	"20,7414208411"	7
"stu"	3	913	528	"0,0474991004"	"20,6510442797"	4
"lou"	3	911	256	"0,0230298669"	"20,605855999"	4
"did"	3	910	121	"0,0108852105"	"20,5832618587"	6
"too"	3	905	191	"0,0171824397"	"20,4702911569"	7
"twe"	3	898	543	"0,0488485067"	"20,3121321745"	5
"leć"	3	894	623	"0,0560453401"	"20,2217556131"	9
"may"	3	888	230	"0,020690896"	"20,086190771"	7
"łzy"	3	877	634	"0,0570349046"	"19,8376552271"	4
"our"	3	876	180	"0,0161928751"	"19,8150610868"	5
"sun"	3	873	288	"0,0259086002"	"19,7472786657"	13
"min"	3	865	366	"0,0329255128"	"19,5665255429"	5
"tys"	3	853	404	"0,0363440086"	"19,2953958587"	12
"lód"	3	851	539	"0,048488665"	"19,250207578"	7
"org"	3	840	522	"0,0469593379"	"19,0016720342"	10
"bla"	3	824	232	"0,0208708168"	"18,6401657886"	9
"jem"	3	823	644	"0,0579345088"	"18,6175716482"	10
"old"	3	822	225	"0,0202410939"	"18,5949775079"	13
"mać"	3	815	538	"0,0483987046"	"18,4368185254"	10
"mmm"	3	812	433	"0,0389528607"	"18,3690361044"	10
"oba"	3	811	648	"0,0582943505"	"18,346441964"	7
"gus"	3	811	110	"0,0098956459"	"18,346441964"	8
"oku"	3	807	727	"0,0654012235"	"18,2560654026"	6
"sex"	3	803	460	"0,041381792"	"18,1656888412"	9
"meg"	3	801	147	"0,0132241814"	"18,1205005605"	6
"lex"	3	800	118	"0,0106153293"	"18,0979064202"	10
"tył"	3	798	642	"0,057754588"	"18,0527181395"	10
"wsi"	3	788	494	"0,0444404462"	"17,826776736"	6
"liz"	3	785	200	"0,0179920835"	"17,7589943149"	9
"waż"	3	784	689	"0,0619827276"	"17,7364001746"	8
"jay"	3	784	203	"0,0182619647"	"17,7364001746"	9
"ooh"	3	779	338	"0,0304066211"	"17,6234294728"	10
"bum"	3	771	474	"0,0426412379"	"17,44267635"	11
"jen"	3	760	164	"0,0147535085"	"17,1941408062"	4
"zoo"	3	760	432	"0,0388629003"	"17,1941408062"	4
"hot"	3	756	452	"0,0406621087"	"17,1037642448"	5
"sok"	3	750	500	"0,0449802087"	"16,9681994027"	14
"cal"	3	748	256	"0,0230298669"	"16,923011122"	10
"que"	3	732	103	"0,009265923"	"16,5615048764"	9
"aaa"	3	728	482	"0,0433609212"	"16,471128315"	8
"ali"	3	721	181	"0,0162828356"	"16,3129693325"	9
"źli"	3	720	612	"0,0550557755"	"16,2903751922"	5
"ken"	3	714	247	"0,0222202231"	"16,1548103501"	7
"wąż"	3	708	421	"0,0378733357"	"16,019245508"	9
"ian"	3	705	147	"0,0132241814"	"15,9514630869"	7
"sue"	3	703	151	"0,013584023"	"15,9062748062"	5
"boy"	3	698	274	"0,0246491544"	"15,7933041045"	5
"ser"	3	697	481	"0,0432709608"	"15,7707099641"	5
"had"	3	690	152	"0,0136739834"	"15,6125509817"	9
"chi"	3	688	188	"0,0169125585"	"15,567362701"	7
"guy"	3	686	187	"0,0168225981"	"15,5221744203"	4
"ann"	3	686	203	"0,0182619647"	"15,5221744203"	6
"rob"	3	684	188	"0,0169125585"	"15,4769861396"	4
"zaś"	3	673	447	"0,0402123066"	"15,2284505958"	12
"dno"	3	671	533	"0,0479489025"	"15,1832623151"	17
"kij"	3	665	447	"0,0402123066"	"15,047697473"	7
"sid"	3	664	115	"0,010345448"	"15,0251033326"	4
"dym"	3	664	489	"0,0439906441"	"15,0251033326"	7
"has"	3	664	139	"0,012504498"	"15,0251033326"	8
"sos"	3	662	458	"0,0412018712"	"14,9799150519"	8
"com"	3	659	484	"0,043540842"	"14,9121326309"	7
"lek"	3	652	393	"0,035354444"	"14,7539736484"	10
"ryb"	3	644	424	"0,038143217"	"14,5732205256"	4
"mej"	3	624	416	"0,0374235336"	"14,1213377186"	8
"rak"	3	622	405	"0,0364339691"	"14,0761494379"	5
"ooo"	3	612	370	"0,0332853544"	"13,8502080344"	7
"ton"	3	609	472	"0,042461317"	"13,7824256134"	6
"off"	3	605	199	"0,0179021231"	"13,692049052"	9
"two"	3	605	195	"0,0175422814"	"13,692049052"	13
"eli"	3	602	108	"0,0097157251"	"13,6242666309"	9
"bał"	3	602	504	"0,0453400504"	"13,6242666309"	10
"dia"	3	599	77	"0,0069269521"	"13,5564842099"	9
"jan"	3	589	193	"0,0173623606"	"13,3305428064"	4
"top"	3	585	285	"0,025638719"	"13,240166245"	10
"ari"	3	578	45	"0,0040482188"	"13,0820072625"	7
"ran"	3	578	424	"0,038143217"	"13,0820072625"	7
"soo"	3	569	66	"0,0059373875"	"12,8786599994"	6
"mel"	3	568	137	"0,0123245772"	"12,856065859"	6
"pat"	3	563	170	"0,015293271"	"12,7430951573"	6
"von"	3	558	199	"0,0179021231"	"12,6301244555"	7
"uch"	3	558	122	"0,0109751709"	"12,6301244555"	9
"róg"	3	551	403	"0,0362540482"	"12,4719654731"	6
"moj"	3	548	224	"0,0201511335"	"12,404183052"	5
"pił"	3	546	476	"0,0428211587"	"12,3589947713"	5
"goa"	3	534	78	"0,0070169126"	"12,0878650871"	14
"lud"	3	534	307	"0,0276178481"	"12,0878650871"	14
"hip"	3	531	178	"0,0160129543"	"12,0200826661"	8
"mln"	3	530	260	"0,0233897085"	"11,9974885257"	5
"air"	3	518	267	"0,0240194315"	"11,7263588415"	7
"lew"	3	512	252	"0,0226700252"	"11,5907939994"	7
"han"	3	510	139	"0,012504498"	"11,5456057187"	10
"son"	3	509	134	"0,0120546959"	"11,5230115784"	7
"mym"	3	507	317	"0,0285174523"	"11,4778232977"	6
"ząb"	3	507	285	"0,025638719"	"11,4778232977"	8
"żyj"	3	502	383	"0,0344548399"	"11,3648525959"	8
"łez"	3	499	373	"0,0335552357"	"11,2970701749"	6
"pam"	3	489	122	"0,0109751709"	"11,0711287714"	7
"god"	3	488	142	"0,0127743793"	"11,048534631"	8
"ned"	3	486	101	"0,0090860022"	"11,0033463503"	12
"dba"	3	485	424	"0,038143217"	"10,98075221"	6
"wuj"	3	484	279	"0,0250989565"	"10,9581580696"	8
"mur"	3	484	319	"0,0286973732"	"10,9581580696"	10
"eee"	3	483	304	"0,0273479669"	"10,9355639293"	9
"giń"	3	480	307	"0,0276178481"	"10,8677815082"	3
"any"	3	478	147	"0,0132241814"	"10,8225932275"	7
"rad"	3	477	372	"0,0334652753"	"10,7999990872"	6
"ufa"	3	477	412	"0,037063692"	"10,7999990872"	8
"tae"	3	474	52	"0,0046779417"	"10,7322166661"	9
"hal"	3	472	90	"0,0080964376"	"10,6870283854"	8
"dvd"	3	472	277	"0,0249190356"	"10,6870283854"	9
"bad"	3	470	171	"0,0153832314"	"10,6418401047"	10
"bud"	3	470	103	"0,009265923"	"10,6418401047"	12
"ryj"	3	468	341	"0,0306765023"	"10,596651824"	10
"mia"	3	465	125	"0,0112450522"	"10,528869403"	7
"zza"	3	457	400	"0,035984167"	"10,3481162802"	9
"tor"	3	455	262	"0,0235696294"	"10,3029279995"	5
"iem"	3	452	309	"0,027797769"	"10,2351455785"	10
"bił"	3	452	372	"0,0334652753"	"10,2351455785"	13
"onz"	3	448	164	"0,0147535085"	"10,1447690171"	11
"put"	3	447	133	"0,0119647355"	"10,1221748767"	12
"die"	3	444	127	"0,011424973"	"10,0543924557"	8
"doc"	3	444	116	"0,0104354084"	"10,0543924557"	8
"kun"	3	444	77	"0,0069269521"	"10,0543924557"	9
"lwa"	3	443	220	"0,0197912918"	"10,0317983153"	11
"eva"	3	440	101	"0,0090860022"	"9,9640158943"	5
"kid"	3	440	131	"0,0117848147"	"9,9640158943"	12
"puk"	3	438	184	"0,0165527168"	"9,9188276136"	10
"zje"	3	438	388	"0,034904642"	"9,9188276136"	10
"eve"	3	436	83	"0,0074667146"	"9,8736393329"	9
"twą"	3	435	315	"0,0283375315"	"9,8510451925"	6
"men"	3	434	172	"0,0154731918"	"9,8284510522"	10
"hop"	3	433	197	"0,0177222022"	"9,8058569118"	4
"tle"	3	432	364	"0,0327455919"	"9,7832627715"	9
"gór"	3	431	315	"0,0283375315"	"9,7606686311"	10
"kit"	3	430	219	"0,0197013314"	"9,7380744908"	7
"byl"	3	430	108	"0,0097157251"	"9,7380744908"	8
"tai"	3	427	87	"0,0078265563"	"9,6702920697"	11
"dog"	3	423	198	"0,0178121626"	"9,5799155083"	14
"ohh"	3	422	175	"0,015743073"	"9,557321368"	10
"joy"	3	417	97	"0,0087261605"	"9,4443506662"	12
"rio"	3	415	179	"0,0161029147"	"9,3991623855"	10
"fry"	3	412	56	"0,0050377834"	"9,3313799645"	9
"gps"	3	411	269	"0,0241993523"	"9,3087858241"	6
"mit"	3	406	275	"0,0247391148"	"9,1958151224"	7
"lux"	3	404	27	"0,0024289313"	"9,1506268417"	12
"fox"	3	399	180	"0,0161928751"	"9,0376561399"	6
"żeś"	3	398	283	"0,0254587981"	"9,0150619996"	8
"kul"	3	397	307	"0,0276178481"	"8,9924678592"	10
"ryż"	3	396	221	"0,0198812522"	"8,9698737189"	7
"pal"	3	394	302	"0,0271680461"	"8,9246854382"	12
"par"	3	393	280	"0,0251889169"	"8,9020912978"	7
"sól"	3	391	276	"0,0248290752"	"8,8569030171"	7
"bay"	3	389	199	"0,0179021231"	"8,8117147364"	7
"fei"	3	389	38	"0,0034184959"	"8,8117147364"	13
"bij"	3	387	300	"0,0269881252"	"8,7665264557"	7
"woo"	3	386	99	"0,0089060813"	"8,7439323154"	9
"shh"	3	376	129	"0,0116048938"	"8,5179909119"	11
"bye"	3	374	134	"0,0120546959"	"8,4728026312"	6
"jaw"	3	374	331	"0,0297768982"	"8,4728026312"	9
"aah"	3	373	147	"0,0132241814"	"8,4502084908"	6
"bin"	3	372	110	"0,0098956459"	"8,4276143505"	7
"gej"	3	372	213	"0,0191615689"	"8,4276143505"	11
"ano"	3	370	247	"0,0222202231"	"8,3824260698"	8
"iii"	3	370	240	"0,0215905002"	"8,3824260698"	8
"vic"	3	369	99	"0,0089060813"	"8,3598319294"	6
"pył"	3	368	252	"0,0226700252"	"8,3372377891"	11
"mna"	3	366	199	"0,0179021231"	"8,2920495084"	8
"end"	3	366	205	"0,0184418856"	"8,2920495084"	11
"kąt"	3	365	302	"0,0271680461"	"8,269455368"	13
"ucz"	3	364	322	"0,0289672544"	"8,2468612277"	6
"sms"	3	364	261	"0,0234796689"	"8,2468612277"	7
"art"	3	358	144	"0,0129543001"	"8,1112963856"	7
"hee"	3	355	73	"0,0065671105"	"8,0435139645"	7
"jam"	3	354	176	"0,0158330335"	"8,0209198242"	4
"deb"	3	353	104	"0,0093558834"	"7,9983256838"	10
"het"	3	352	9	"0,0008096438"	"7,9757315435"	5
"del"	3	351	165	"0,0148434689"	"7,9531374031"	14
"car"	3	349	121	"0,0108852105"	"7,9079491224"	8
"der"	3	348	94	"0,0084562792"	"7,8853549821"	5
"gen"	3	348	159	"0,0143037064"	"7,8853549821"	6
"luz"	3	347	229	"0,0206009356"	"7,8627608417"	9
"por"	3	346	120	"0,0107952501"	"7,8401667014"	6
"run"	3	345	158	"0,014213746"	"7,817572561"	5
"sal"	3	345	137	"0,0123245772"	"7,817572561"	6
"dat"	3	345	64	"0,0057574667"	"7,817572561"	8
"itd"	3	341	251	"0,0225800648"	"7,7271959996"	3
"ash"	3	341	79	"0,007106873"	"7,7271959996"	7
"leż"	3	341	290	"0,0260885211"	"7,7271959996"	7
"ufo"	3	338	144	"0,0129543001"	"7,6594135786"	6
"ain"	3	335	110	"0,0098956459"	"7,5916311575"	6
"ech"	3	334	222	"0,0199712127"	"7,5690370172"	12
"pop"	3	332	161	"0,0144836272"	"7,5238487365"	7
"bmw"	3	330	149	"0,0134041022"	"7,4786604558"	7
"tyś"	3	328	214	"0,0192515293"	"7,4334721751"	9
"ewa"	3	327	89	"0,0080064772"	"7,4108780347"	15
"koc"	3	326	252	"0,0226700252"	"7,3882838944"	6
"łał"	3	326	163	"0,014663548"	"7,3882838944"	7
"heh"	3	325	122	"0,0109751709"	"7,365689754"	16
"lin"	3	323	109	"0,0098056855"	"7,3205014733"	11
"coż"	3	323	235	"0,0211406981"	"7,3205014733"	12
"guz"	3	321	156	"0,0140338251"	"7,2753131926"	14
"liu"	3	321	46	"0,0041381792"	"7,2753131926"	17
"abe"	3	317	70	"0,0062972292"	"7,1849366312"	13
"aut"	3	317	197	"0,0177222022"	"7,1849366312"	13
"cox"	3	316	78	"0,0070169126"	"7,1623424909"	13
"tzn"	3	315	202	"0,0181720043"	"7,1397483505"	17
"hoo"	3	313	105	"0,0094458438"	"7,0945600698"	16
"ana"	3	311	92	"0,0082763584"	"7,0493717891"	17
"ira"	3	309	77	"0,0069269521"	"7,0041835084"	8
"mal"	3	305	54	"0,0048578625"	"6,913806947"	9
"kay"	3	301	92	"0,0082763584"	"6,8234303856"	4
"pro"	3	299	176	"0,0158330335"	"6,7782421049"	11
"own"	3	297	125	"0,0112450522"	"6,7330538242"	6
"alf"	3	296	34	"0,0030586542"	"6,7104596839"	6
"val"	3	296	58	"0,0052177042"	"6,7104596839"	11
