ngram	freq
ędzi	173287
rawd	172860
^^on	171736
dę^^	170818
^nas	170561
^^my	170458
szę^	169928
raz^	169858
^^^f	169254
^ja^	168252
^tyl	168086
myśl	167090
la^^	166809
^wię	166478
^cze	166474
cy^^	166236
^^bo	165669
^^ka	165265
ystk	165049
ce^^	164129
^zna	163062
r^^^	161690
^tym	161286
tym^	161151
^roz	161126
obie	159171
ek^^	158602
^^wa	158307
^ci^	158283
^^ju	158241
^cię	157998
^cho	157593
en^^	156491
^^^h	155750
ój^^	155610
^tu^	155117
^zro	154283
któr	154075
ich^	153891
eć^^	153686
stem	153538
^^sa	152529
zego	152486
będz	152175
^teg	152135
as^^	151409
^^sk	150634
^ty^	150548
iała	150361
pani	149928
^mog	149849
^go^	149823
ała^	149637
trze	148285
^moj	147976
^mów	147811
więc	147758
lko^	147662
tylk	147587
mówi	147561
ylko	147456
^któ	147357
an^^	147245
po^^	146230
wiem	145014
^po^	144598
da^^	144519
jesz	144057
ły^^	143591
^jed	142919
^^ob	142352
musi	141529
cię^	140519
ną^^	140420
iałe	140325
^mie	140196
uż^^	138758
^ma^	138167
śli^	137888
mam^	137604
wać^	136806
ieni	136650
czeg	136553
zrob	136310
^już	134971
już^	134958
teś^	134170
^^sł	134102
^myś	134048
^sam	133265
^nic	132879
^spo	132330
^zab	132147
od^^	131942
^^lu	131697
ź^^^	129693
^^ze	129546
zeni	128361
uję^	128336
acze	127539
^cie	126803
^spr	126581
ń^^^	126452
wy^^	126280
on^^	125465
zi^^	125306
^two	125010
jej^	124864
zost	124826
amy^	124720
l^^^	124700
rzec	124603
ście	124438
^pom	123998
^rob	123074
^kie	122503
^por	121998
dzi^	121784
^^są	121325
ił^^	120770
^ter	119354
dla^	119208
ami^	119207
^^in	119081
tam^	118980
eśli	118348
^coś	118295
^jeś	118271
coś^	118154
^pot	118053
chce	118036
^wid	117648
^^le	117045
obrz	116806
ieć^	116592
brze	116465
^^dr	116394
ebie	115998
^pie	115960
widz	115699
idzi	115567
wie^	115383
^^ży	115305
iał^	115253
jeśl	114973
tera	114550
enia	113717
jego	113712
ył^^	113670
dź^^	113359
iebi	112938
^zos	112631
^^kr	112416
^^wł	112266
ości	112264
ez^^	112195
gę^^	112078
iśmy	111459
^^os	111388
enie	110945
rosz	110851
niej	110726
^cza	110639
^^pe	108823
hodz	108029
^mia	107760
^mas	107704
pan^	107196
cę^^	106941
tko^	106649
eraz	106646
kę^^	106555
^^so	106531
^tam	106489
miał	106075
ęc^^	106011
czas	105985
ięc^	105984
stał	105832
edy^	105669
ach^	105580
^bar	105475
^^św	105436
gdzi	105289
ało^	104686
^świ	104479
iedy	104434
ba^^	104378
kied	104233
ardz	104052
ałam	103947
trzy	103606
^od^	103250
dzię	103229
^^br	103095
oszę	102577
^poz	102493
masz	102252
bard	102182
być^	102142
akie	101797
^gdz	101353
gdy^	101183
stko	100998
^^ok	100538
liśm	100057
aś^^	99443
^kto	99285
zcze	99276
ic^^	99046
ierz	99042
ogę^	98960
^nap	98854
^żeb	98810
woje	98671
zięk	98504
zyć^	98472
ona^	98300
ani^	98246
ią^^	98036
nego	98022
^^sw	97948
żeby	97612
jaki	97542
nic^	97440
ował	97329
ciał	97258
^zap	96942
ość^	96884
ować	96846
rzyj	96805
sze^	96249
ałeś	96031
^raz	95839
^być	95786
oje^	95280
ania	95024
cze^	94286
^sob	94214
wies	94173
bo^^	94122
rzeb	94055
^str	94008
twoj	93534
^^zd	93079
awia	92729
^^wr	92655
^pos	92581
^wła	92045
uje^	92014
ści^	91923
aczy	91668
^^ku	91602
ca^^	91490
eszc	91230
są^^	91131
kie^	90862
owan	90781
bym^	90715
^^oc	90692
mogę	90684
taki	89878
eż^^	89544
nasz	89098
^on^	89086
rzes	88628
^są^	88412
imy^	88060
chci	87800
ają^	87725
^^ca	87161
wi^^	87035
pier	86923
ten^	86920
rasz	86820
łaś^	86712
^ten	86602
rzy^	86244
sobi	86149
bić^	85821
moje	85164
stan	85084
ecie	84667
^naj	84655
^^gr	84499
iemy	84365
^^we	84251
obra	83912
^^la	83802
^^wo	83629
yło^	83563
^zac	83446
we^^	83380
^wys	83282
iego	83113
rz^^	83014
staw	82949
^^be	82927
^^^e	82768
^^se	82641
star	82591
czek	82519
taj^	81932
^^bi	81805
iu^^	81792
rzym	81560
spra	81459
^pew	81430
ony^	81402
wo^^	81322
cieb	81159
zo^^	81039
^^gł	80979
^jej	80889
^^rz	80718
potr	80470
pewn	80374
udzi	80364
^trz	79700
et^^	79435
było	79361
rzys	79239
yś^^	79173
nych	79130
^^id	79084
adzi	79013
^^^ł	78900
hcia	78890
rdzo	78784
^cał	78696
zabi	78650
zieć	78452
dzo^	78314
nym^	78272
ieci	77946
rzez	77909
śnie	77843
mies	77722
był^	77714
emu^	77564
^swo	77543
rzep	77439
^zam	77362
^lud	77181
zeka	77077
czyn	77073
ąd^^	76971
^^du	76552
te^^	76359
b^^^	75944
ocha	75934
zam^	75729
wiel	75383
asza	75160
prac	75129
iejs	74849
rząd	74657
ziem	74422
ana^	74378
at^^	73828
^ze^	73654
^gdy	73387
bacz	73322
koch	73318
ro^^	73263
^nad	73209
lacz	72680
^no^	72650
umie	72567
jedn	72387
chcę	72307
hcę^	72307
^dom	72296
strz	72252
ziej	71869
dlac	71750
iłem	71713
ludz	71708
zez^	71656
mój^	71383
^mój	71383
zą^^	70960
^^zw	70892
^zaw	70857
ką^^	70773
wier	70680
nę^^	70582
otrz	70517
rzed	70068
kim^	70067
^^pó	70029
apra	69933
^^ją	69932
towa	69796
owin	69795
ji^^	69597
ucha	69394
napr	69291
ziec	69282
^wyg	69174
^^fa	69109
cia^	68853
^by^	68812
^ją^	68802
rowa	68735
oja^	68723
dku^	68557
wdę^	68486
tani	68115
rodz	68072
lę^^	68069
cesz	67986
hces	67983
^jeg	67928
eby^	67876
awdę	67850
^^op	67486
ały^	67295
stki	67246
wiek	66922
obić	66859
^bez	66747
nam^	66745
nas^	66637
kiem	66373
zepr	66200
^życ	66059
^^uw	65969
wsze	65937
^koc	65870
zies	65699
zyma	65693
samo	65577
zysz	65538
jcie	65478
^^zł	65442
zecz	65262
czyć	65258
^kon	65019
^^zm	64956
właś	64875
łuch	64699
^tut	64602
^pok	64602
nien	64572
iecz	64558
cz^^	64449
końc	64341
epra	63963
utaj	63862
szam	63811
tuta	63757
była	63744
any^	63700
^^wc	63690
^dos	63629
słuc	63598
niec	63280
iści	63056
gląd	63010
życi	62666
pras	62607
^^ic	62428
^ich	62422
^nig	62356
nigd	62227
porz	62034
^^he	61968
nim^	61945
dzis	61757
stra	61727
^nam	61618
yśli	61449
^^re	61180
^poc	60982
obił	60819
rozu	60796
ozum	60770
eść^	60647
też^	60479
^też	60452
^zas	60164
nacz	60076
ląda	60043
byś^	59978
zym^	59930
oczy	59665
aki^	59592
eń^^	59497
zacz	59449
^^uc	59304
^^ża	59299
żesz	59217
owy^	59009
orzą	58910
wani	58845
tać^	58771
yła^	58569
^^zg	58555
tóry	58412
igdy	58300
acie	58223
zumi	58027
musz	57961
^zob	57900
kto^	57896
^^dw	57647
ożes	57511
ec^^	57400
aśni	57382
obac	57296
^bo^	57222
mamy	57215
ąć^^	56959
swoj	56763
zoba	56731
ij^^	56727
^mar	56685
onie	56667
^lat	56588
czym	56528
bra^	56470
^^im	56462
bą^^	56216
mier	56194
cześ	56037
dzę^	55940
^sie	55843
^^um	55781
^^us	55562
dnie	55548
ięku	55473
^inn	55357
aż^^	55337
dzin	55319
ali^	55082
^^li	55063
ękuj	54971
wał^	54950
zem^	54923
omu^	54900
atrz	54732
^tob	54625
^naw	54451
tę^^	54435
miej	54375
ządk	54354
ieli	54318
wnie	54235
ądku	54153
^kol	54056
ok^^	54048
ając	53890
nej^	53888
ycie	53800
obą^	53632
dost	53470
er^^	53346
^dok	53338
^ocz	53315
oją^	53281
^^sy	53246
^mu^	53231
^rze	53201
ąc^^	53086
g^^^	53046
tawi	52900
czni	52828
dził	52764
szy^	52709
^was	52690
^sko	52686
cji^	52652
ziew	52620
rozm	52467
hodź	52333
czen	52317
^wyj	52285
kuję	51912
^wsp	51717
rost	51716
ujes	51697
^ost	51431
uszę	51383
znac	51301
^dal	51025
rawi	50986
wiad	50919
^pop	50890
oim^	50866
^^zb	50685
awda	50627
śmie	50593
^bra	50431
tnie	50348
^wyp	50182
bier	49924
iła^	49792
yglą	49746
niem	49691
iec^	49397
wiec	49346
re^^	49332
^tro	49330
^wyb	49187
mien	49152
czył	49145
świa	49110
^szc	49107
tóre	49096
nies	49088
iera	49068
^nim	48979
dziw	48958
wygl	48893
wda^	48798
^ona	48781
poko	48769
yba^	48695
wróc	48620
zić^	48508
odni	48461
^mał	48439
zest	48396
świe	48392
daj^	48324
wój^	48321
ień^	48207
ierw	48138
prób	48121
^chy	48062
niu^	47902
chyb	47893
mawi	47879
winn	47684
kład	47666
^słu	47648
^^de	47632
hyba	47473
wet^	47446
dale	47440
tej^	47434
łysz	47423
kieg	47309
awet	47243
dać^	47227
nawe	47220
ad^^	47206
iłeś	46880
domu	46872
lu^^	46765
^każ	46744
^pol	46532
su^^	46509
słys	46473
wić^	46347
znal	46308
pocz	46299
yśla	46292
łaśn	46055
^^ud	45946
zas^	45927
hej^	45926
ciąg	45912
stat	45866
^^śm	45791
^śmi	45791
^hej	45782
prow	45765
niew	45748
nale	45645
ojeg	45485
^^ła	45472
cję^	45402
^moi	45343
om^^	45305
ejsc	45246
ważn	45226
^zad	45177
^sza	44878
si^^	44827
ończ	44782
owad	44781
^^pu	44767
spok	44733
^rod	44680
^^pl	44468
znie	44467
^^ot	44420
inie	44380
kole	44363
dzić	44174
ojej	44147
ciel	44143
ałaś	44094
^mił	44048
chło	44046
iś^^	44020
^now	43930
tą^^	43916
ędę^	43873
będę	43851
jdzi	43711
^odp	43658
^lub	43646
zaws	43641
łowi	43638
eli^	43536
^^ga	43535
^daj	43398
^^oj	43364
era^	43361
ech^	43341
zeci	43285
awsz	43225
ga^^	43222
eczy	43205
yłem	43196
one^	43120
mo^^	43091
du^^	43025
każd	43010
tało	43008
ślał	42930
ków^	42826
^nik	42825
^^kl	42817
roch	42792
two^	42743
^te^	42713
sisz	42674
bisz	42655
^chł	42617
częś	42578
^naz	42573
ześć	42561
owa^	42530
pyta	42464
^wró	42446
^czu	42381
óry^	42326
^^og	42285
lubi	42156
sza^	42146
ęki^	42093
óż^^	42051
^chw	42009
stać	41984
iele	41972
hę^^	41857
wadz	41837
zyja	41826
chaj	41812
ozma	41803
^wyd	41724
^ojc	41696
^lep	41520
zyna	41505
^gło	41494
^gra	41483
ówił	41401
chę^	41386
zmaw	41371
iewc	41346
ewcz	41344
^sły	41262
wczy	41231
iewa	41193
amię	41085
^^bu	41084
moja	41012
stwo	40958
^^su	40956
aliś	40932
rę^^	40844
cej^	40837
nią^	40833
wałe	40801
hłop	40784
tych	40745
róci	40695
zywi	40648
cić^	40624
ób^^	40577
łe^^	40566
kich	40543
nij^	40444
troc	40438
nić^	40364
awie	40361
ochę	40335
eczn	40291
kt^^	40250
dzwo	40229
dzen	40190
uj^^	40137
iek^	40029
stro	40009
^^an	39938
iech	39914
cja^	39896
ata^	39893
kogo	39887
lej^	39862
ięki	39861
zej^	39777
mogł	39777
pami	39725
^zaj	39624
ostr	39600
^tej	39569
obis	39508
ekaj	39496
zami	39485
tów^	39450
esta	39424
^^me	39324
^je^	39287
icie	39266
asze	39263
ięta	39210
^szy	39163
wdzi	39145
^uwa	39138
eśmy	39136
usis	39136
racj	39087
stu^	38998
wiet	38998
bez^	38922
obry	38897
wiat	38761
zisz	38729
nu^^	38728
^^ró	38703
^zar	38694
czne	38681
^kom	38581
patr	38570
teśm	38531
stęp	38527
zebu	38470
znaj	38458
chol	38315
ań^^	38301
^^dn	38278
toś^	38157
ktoś	38139
^wyc	38135
ięce	38124
podo	38119
szuk	38036
chwi	38006
^pię	37957
ili^	37943
cą^^	37900
alej	37853
^twó	37833
scy^	37820
awdz	37811
odob	37740
kać^	37731
ebuj	37717
ane^	37700
ieś^	37697
^^wz	37690
pomy	37602
^czł	37592
oler	37548
czło	37546
erws	37487
hwil	37472
nicz	37405
^^có	37368
kowa	37367
owod	37160
twój	37077
rać^	37062
^zmi	37055
łbym	37011
ęcej	37007
^^ur	36995
hole	36983
yscy	36958
ałby	36948
owe^	36906
rwsz	36897
wini	36871
zień	36846
^^fi	36822
yczn	36799
chan	36776
ńczy	36767
rdzi	36691
pozw	36685
echa	36684
pomo	36670
zczę	36560
oni^	36557
amie	36555
simy	36487
kaj^	36432
ysta	36432
nośc	36423
piec	36411
lisz	36364
goś^	36362
^duż	36346
tobą	36337
wych	36233
^tat	36233
zysc	36195
ziel	36142
zesz	36040
dą^^	36030
lat^	36019
gi^^	35949
jemy	35926
wała	35858
erzy	35811
byłe	35741
raca	35722
hce^	35693
^^dł	35680
^ta^	35673
^^ru	35648
jaci	35595
lepi	35560
mną^	35555
eści	35537
pana	35532
^tem	35521
uważ	35501
yjac	35405
ży^^	35377
atni	35376
tkie	35364
szko	35351
^alb	35319
szyb	35285
odź^	35278
azem	35273
wę^^	35262
^dro	35214
dług	35142
^pam	35120
ozna	35119
dz^^	35091
ostu	35087
mięt	35063
^żad	35058
wali	35057
epie	35021
czyw	35014
^dni	34985
jść^	34981
^dow	34822
^^ab	34807
zywa	34799
ary^	34790
raze	34759
żemy	34746
ucie	34668
ożem	34666
^kim	34664
^^ce	34650
kąd^	34624
aby^	34604
^^zi	34551
zani	34483
^boż	34428
^rac	34386
p^^^	34363
czuj	34262
leps	34257
^par	34222
mógł	34198
ód^^	34148
^kur	34132
^pon	34094
otow	34001
spot	34000
usim	33950
aka^	33944
złow	33889
ślę^	33888
^sło	33875
^zat	33826
ysz^	33799
^^ha	33786
^poj	33784
bię^	33740
^tra	33739
ewni	33677
^mną	33674
nt^^	33673
czem	33666
boże	33658
zne^	33622
iać^	33603
eci^	33574
cu^^	33553
ele^	33545
albo	33543
zwon	33511
al^^	33506
eszk	33498
nieg	33441
yślę	33406
^zak	33387
iłam	33347
czny	33254
szka	33245
ymi^	33231
odpo	33222
^pró	33211
lbo^	33166
sam^	33151
pien	33118
piej	33101
epsz	33093
haj^	33068
edz^	32997
późn	32954
^^pł	32933
okoj	32919
iast	32866
ielk	32819
tatn	32788
kobi	32767
^spa	32744
^kob	32734
pełn	32627
aje^	32611
rzyk	32598
ajci	32548
wam^	32494
wą^^	32437
ocy^	32431
łaby	32418
^móg	32411
iło^	32357
^^lo	32348
zedł	32324
^ran	32317
rzej	32304
woni	32205
godz	32204
dowa	32185
ieje	32154
^dłu	32148
wyst	32145
^szk	32132
^pla	32044
bry^	31922
inny	31897
ed^^	31871
^sze	31864
szed	31849
biet	31756
iczn	31754
^min	31741
łącz	31700
jech	31695
iż^^	31670
eje^	31608
czon	31600
skie	31520
sy^^	31517
licz	31498
iesi	31476
ciek	31473
olic	31456
adni	31430
ietn	31429
tycz	31416
goto	31391
zuka	31361
zmie	31342
^wra	31318
zała	31314
wasz	31300
zu^^	31283
iny^	31268
^noc	31266
otem	31223
otka	31216
bi^^	31171
wyda	31143
^kog	31119
pomn	31057
aszy	31054
ację	31009
nąć^	31003
orze	31002
^ode	30996
ładn	30969
woln	30953
^dru	30914
miło	30902
^^żo	30892
^^tę	30887
amo^	30865
zemu	30840
^mat	30835
^^py	30822
^ser	30800
oc^^	30776
mart	30740
^sto	30734
ju^^	30715
biłe	30619
ii^^	30593
rani	30571
ejsz	30554
usia	30544
jęci	30536
lem^	30521
wno^	30500
was^	30449
daje	30444
el^^	30435
rzek	30420
cham	30343
yna^	30336
zed^	30307
^^wp	30264
^pat	30227
ocze	30171
pomó	30101
artw	30039
ik^^	30026
żadn	30019
^niż	29991
zpie	29984
omni	29942
^ok^	29912
^^gó	29855
rem^	29843
ama^	29822
^aby	29802
wego	29771
rusz	29717
roni	29693
tąd^	29675
dani	29670
woją	29641
ierd	29640
den^	29629
stań	29578
powo	29556
jedz	29548
nowa	29511
^wyk	29495
nem^	29493
gdyb	29439
dyby	29433
ieka	29279
^idz	29273
bezp	29261
buje	29253
ństw	29245
iada	29244
ocho	29229
sie^	29132
^dop	29115
poli	29058
lka^	29036
^kil	29035
rzel	28995
wię^	28992
bił^	28976
potk	28957
wrac	28930
ślis	28918
asne	28903
niał	28889
zać^	28883
wiśc	28858
erze	28815
szą^	28805
tere	28784
woim	28773
zach	28765
niż^	28755
rzuc	28752
^sąd	28748
iepr	28741
^odd	28731
asu^	28678
^wol	28548
rzem	28528
^^kł	28512
hać^	28445
rzyp	28428
nast	28424
waża	28416
ina^	28400
^jas	28392
chać	28387
ktor	28347
twie	28339
bowa	28324
or^^	28315
mie^	28302
owni	28302
tań^	28291
^wal	28279
raci	28261
oble	28235
^^śl	28228
rzył	28224
opie	28203
^^uk	28198
chow	28192
ywiś	28189
ują^	28164
zwol	28149
acji	28128
moim	28086
poka	28069
siał	28059
etni	28058
mias	28055
trac	28053
tki^	28050
miem	28044
prob	28028
twoi	28025
wany	28013
liśc	28012
mieć	27952
szym	27952
^koń	27938
zony	27896
rzyn	27842
rafi	27819
dł^^	27813
rzen	27812
^^wt	27801
dze^	27771
^wcz	27736
^ucz	27715
iałb	27675
robl	27672
blem	27668
oich	27618
^uci	27616
kona	27613
arzy	27589
twa^	27561
lałe	27542
^^mę	27537
^pyt	27537
tał^	27519
dpow	27512
^maj	27502
anow	27471
niez	27464
szał	27434
arze	27417
inte	27401
^zał	27398
zasu	27397
rą^^	27384
ham^	27376
temu	27346
dni^	27344
ując	27342
zna^	27340
zamk	27318
zych	27311
woja	27284
dzy^	27277
^^rę	27227
^wam	27223
^fac	27214
^got	27155
^bie	27153
óre^	27150
kont	27107
^tyc	27101
okój	27096
pokó	27096
zapo	27093
cały	27022
jako	27002
najd	27000
ujem	26989
adza	26941
ął^^	26882
^pój	26880
^och	26871
ące^	26869
^u^^	26849
^^u^	26849
kaza	26842
wita	26835
skoń	26833
elki	26833
azyw	26830
^my^	26814
jąc^	26804
ezpi	26802
^^ks	26789
ycho	26761
ół^^	26714
nać^	26704
^^il	26630
face	26629
godn	26622
nami	26554
sne^	26548
kój^	26541
jasn	26526
zyni	26487
rów^	26443
osob	26430
wiłe	26393
orzy	26350
ieck	26336
isto	26309
zuci	26302
okaz	26253
^god	26216
chał	26209
odu^	26199
^rad	26183
^poł	26180
nów^	26168
^dwa	26149
tarc	26124
ikt^	26119
wiąz	26112
post	26029
żyć^	26028
lwie	26008
ciec	25999
owi^	25997
pod^	25993
wiać	25974
usi^	25944
odej	25942
kolw	25925
olwi	25925
iędz	25925
ność	25896
źnie	25869
^spó	25822
ent^	25817
trz^	25815
dawa	25772
nikt	25745
kilk	25725
^sek	25719
sieb	25712
^zni	25674
óźni	25670
tele	25663
pisa	25568
zny^	25566
ciu^	25515
zadz	25478
^kar	25470
amkn	25463
^nar	25431
^szu	25421
zeć^	25355
hani	25323
ąda^	25317
uczy	25313
nter	25312
^syn	25303
tka^	25299
ski^	25286
^^up	25282
wisz	25271
arcz	25262
eden	25261
yt^^	25255
sądz	25228
amoc	25105
ody^	24986
kurw	24915
eba^	24912
^stą	24912
moch	24883
sprz	24882
zeba	24875
ież^	24872
głup	24847
rzyć	24836
ajle	24798
jede	24792
resz	24782
^bro	24781
zają	24768
^int	24759
ery^	24741
poro	24739
drog	24728
yli^	24688
wne^	24684
stąd	24681
^wyr	24679
najl	24678
zcie	24675
płac	24659
jlep	24658
wien	24642
plan	24641
pozn	24632
twor	24630
ile^	24600
^ksi	24596
^oni	24589
iliś	24576
^uda	24569
ówi^	24568
^^ar	24560
^pog	24552
zara	24538
^zwi	24528
ment	24526
czys	24524
^póź	24508
posz	24476
dnia	24463
ależ	24452
sied	24411
inne	24378
ałe^	24373
ateg	24353
^otw	24352
twar	24348
traf	24339
nad^	24302
^im^	24291
usza	24290
łatw	24206
ysza	24163
nazy	24163
^obi	24137
^żon	24102
ędzy	24094
^tel	24070
^cią	24043
żna^	24005
eważ	23990
acet	23969
zył^	23960
um^^	23936
^żyj	23893
iaj^	23853
tron	23850
^^bl	23845
apom	23835
róbu	23821
óbuj	23821
nich	23814
wspa	23806
^odw	23792
gu^^	23778
wym^	23761
^głu	23742
lnie	23710
tedy	23706
głow	23704
late	23693
^wte	23692
yłeś	23673
acy^	23663
wted	23622
dziś	23621
iękn	23599
sa^^	23591
rosi	23587
nadz	23585
ziś^	23579
mają	23575
^wia	23556
ysze	23554
pote	23553
ha^^	23546
pięk	23543
acja	23541
ety^	23477
wej^	23468
^cóż	23436
cóż^	23432
nię^	23424
zybk	23376
edyn	23364
jedy	23350
zuje	23339
^ska	23337
abij	23336
zatr	23332
ełni	23332
dlat	23318
mię^	23314
awa^	23309
yśmy	23306
iało	23276
elu^	23241
^win	23241
iam^	23208
okła	23190
rywa	23181
ano^	23176
dwa^	23173
ażdy	23170
dam^	23165
lić^	23160
załe	23159
ażni	23130
kami	23127
drug	23127
asta	23126
iwe^	23126
ynie	23121
adaj	23109
ewno	23093
^zła	23083
żnie	23063
aleź	23035
^kup	22987
^męż	22975
nika	22955
dna^	22943
łą^^	22898
ru^^	22888
^wst	22856
zyje	22850
popr	22850
lny^	22836
szan	22819
nik^	22814
iado	22807
zast	22806
żo^^	22805
zisi	22787
koni	22786
awy^	22768
in^^	22749
cią^	22688
^^ho	22676
dzą^	22652
tała	22647
tro^	22612
więk	22610
ąż^^	22609
edna	22593
biła	22592
matk	22582
ścia	22568
^nau	22565
^uwi	22537
kiej	22528
alni	22528
rwa^	22528
szeg	22506
kani	22500
tary	22498
^oso	22490
^obr	22477
iść^	22445
eliś	22430
użo^	22429
dużo	22427
^zan	22426
span	22422
raco	22414
eczk	22380
awił	22350
ozwo	22329
zyłe	22329
ęcia	22327
eniu	22323
jmy^	22314
zien	22312
stwa	22298
posł	22296
zech	22285
obi^	22279
powa	22252
prez	22248
spos	22243
ogo^	22207
ęści	22206
krzy	22201
eprz	22191
adom	22163
omyś	22088
^kos	22060
^dot	22046
osób	22031
icy^	22011
adzw	22003
rzyc	22002
^ską	22000
sób^	21990
io^^	21981
rzyw	21956
alne	21950
jące	21922
ięci	21915
^^ry	21910
aści	21902
sce^	21885
ługo	21879
^^hi	21849
oń^^	21836
^^ak	21818
ska^	21816
moją	21790
omoc	21789
mać^	21789
odda	21763
yłam	21716
aw^^	21686
^^iś	21676
poni	21669
yszł	21663
alny	21658
warz	21655
osłu	21655
^lek	21651
skąd	21650
eśni	21647
^iść	21642
dasz	21636
radz	21621
gą^^	21583
ścią	21576
jsce	21576
zęśc	21540
imi^	21531
^kró	21520
ecz^	21476
óc^^	21447
móc^	21447
^zie	21444
acow	21439
ogła	21424
araz	21422
iony	21411
^zda	21390
dowi	21387
^drz	21386
^^of	21386
mysł	21383
eńst	21381
oby^	21351
inni	21335
nowi	21322
wiła	21293
cje^	21290
pita	21251
żliw	21245
zyła	21245
kuje	21200
podz	21162
^^uż	21156
nek^	21137
^nią	21123
^ile	21118
rza^	21118
ypad	21108
^idź	21071
raj^	21045
waj^	20975
lne^	20971
woli	20964
zykr	20960
sko^	20960
^wit	20933
ako^	20913
napi	20870
jący	20866
worz	20851
doba	20845
nny^	20838
nala	20820
ilka	20794
czaj	20794
uwie	20793
tałe	20788
oku^	20780
tek^	20778
sta^	20764
^uży	20757
odze	20745
^wyn	20740
czę^	20738
nka^	20729
szło	20726
cza^	20711
^mor	20703
^cia	20652
ien^	20651
minu	20643
astę	20630
bran	20624
^umi	20611
czor	20607
iene	20604
^oka	20591
^daw	20587
ar^^	20582
ycia	20580
alaz	20579
ebyś	20563
ża^^	20540
^^śr	20535
^imi	20514
pójd	20502
licj	20495
oroz	20495
ygod	20483
zyzn	20478
obię	20473
^rus	20464
łopa	20451
nisz	20447
ywa^	20444
żeni	20442
zła^	20438
