ngram	freq
łc	7734
rr	7721
oć	7684
ct	7620
x^	7585
^v	7541
iń	7428
ei	7337
źd	7067
wś	7059
łt	6604
ay	6472
żb	6367
tp	6342
źw	6330
łż	6204
ou	6114
łp	6083
jg	6008
ss	5941
^y	5856
mm	5624
mc	5608
^ć	5603
ćm	5456
ah	5208
sh	5156
ćw	5154
nr	5148
óć	5127
bz	5118
łm	5092
sf	4949
oa	4934
kk	4780
sr	4746
fn	4691
hl	4632
ąk	4520
dt	4389
dg	4244
lf	4191
wb	4189
ml	4101
uń	4093
nw	4026
ąb	4025
ex	3886
jó	3882
wl	3805
ld	3782
zz	3760
ax	3752
yź	3693
rś	3684
uo	3667
gz	3634
żó	3626
bm	3620
tm	3576
łs	3461
ćc	3383
va	3300
if	3275
pą	3256
wm	3178
ló	3177
bb	3166
źr	3145
lg	3058
oź	3046
ve	3007
hś	2988
rf	2938
yń	2901
ęź	2896
^ó	2868
ht	2766
ue	2720
ts	2714
nż	2584
v^	2578
ey	2547
fy	2481
bj	2481
ui	2440
gh	2325
wh	2303
bw	2277
ov	2276
nz	2251
oe	2249
tt	2247
jt	2228
vi	2201
uu	2146
łz	2094
km	2029
ńk	1993
gm	1918
tf	1875
cm	1874
yi	1860
óp	1834
md	1825
iź	1808
uź	1805
ćp	1786
sl	1773
cl	1738
eh	1718
vo	1691
ya	1679
qu	1668
mf	1651
tv	1633
łg	1629
śb	1580
pp	1572
oy	1527
dś	1524
żm	1505
tb	1435
jf	1429
mg	1413
^x	1405
^q	1393
łw	1378
źb	1357
ye	1355
sb	1328
ńm	1314
ww	1292
łd	1292
cr	1289
ky	1177
ćd	1174
ćb	1172
lż	1135
wj	1114
ff	1077
ft	1061
gs	1043
bd	1027
ly	1008
źg	1001
fę	999
lś	997
źń	962
jz	951
kp	942
cw	924
iv	921
gt	887
ae	849
żi	836
łl	831
ńb	826
fk	826
lp	788
ox	762
wg	757
uh	750
ih	739
4^	707
2^	702
nj	681
xi	674
hą	661
żr	658
śk	650
kg	641
łr	614
cc	602
xy	590
tz	581
av	577
zś	559
żw	543
np	534
pm	532
fó	530
śń	523
mw	503
ux	493
jł	482
fc	462
yu	454
1^	450
fą	448
yh	446
q^	418
bt	411
eq	404
3^	401
zh	396
6^	386
ąw	360
td	344
zż	339
66	333
tg	322
ev	313
ęw	311
cd	296
0^	293
bg	283
24	281
śt	277
xe	276
dh	276
źk	274
nh	271
sd	271
5^	254
bf	254
hk	243
gg	234
ćs	231
gb	227
xa	223
xt	220
xp	216
ó^	212
mż	209
żł	208
lv	200
xu	197
^ę	194
8^	190
jż	189
lz	186
óm	183
vy	176
nl	174
sg	169
kh	165
7^	163
i2	162
kś	155
^ą	152
mh	143
9^	143
hs	140
o2	139
fm	137
vu	137
y2	134
ph	133
cs	133
o6	131
sq	131
aq	129
xw	125
rń	123
jj	122
s0	119
vr	119
bż	117
xf	116
v1	115
ąź	113
r2	111
eę	109
0	105
bś	100
ix	99
c4	98
v8	97
12	95
34	95
fs	95
kj	92
19	89
ću	89
pf	85
źż	84
łf	84
10	83
p3	81
11	80
rh	80
t1	79
eą	79
cp	74
i6	73
eó	72
73	71
wf	71
u7	69
hj	68
m3	67
łś	66
nb	65
óś	64
f1	64
c3	63
łć	63
xx	62
s1	61
m2	60
k1	59
e0	59
1	59
fg	58
df	57
hż	56
0n	56
ńd	55
l4	55
b1	55
hp	55
i0	55
r8	54
tj	54
u2	52
n1	52
r4	52
wż	52
70	51
hb	48
d3	48
lr	48
xo	47
h2	47
x2	47
uę	47
t0	46
c1	46
23	45
t3	45
r1	44
97	44
30	44
0m	44
rv	44
c2	44
lh	44
cł	42
20	41
k2	41
3	41
25	40
3s	40
bp	40
82	39
p4	39
m1	38
0l	38
ćk	38
bh	38
4t	38
łi	37
b2	36
16	36
21	35
44	35
26	34
2	33
uy	33
13	33
14	33
nq	32
a1	31
m4	30
p5	30
u6	30
e1	30
50	30
c5	30
lń	29
żp	29
52	29
64	28
v2	28
4	28
47	28
vą	27
pń	27
x5	27
c7	27
vę	26
d2	26
33	26
77	25
p2	25
i5	25
3e	25
hg	25
2e	25
99	24
d4	24
h1	24
18	23
87	23
o5	23
k9	22
xl	22
gp	21
8	21
1w	21
p1	21
88	20
n2	20
1e	20
kd	20
m6	20
xc	20
e2	20
n3	19
f4	19
sv	19
15	19
4g	19
83	19
2o	19
90	19
uv	18
s5	18
32	18
b6	18
gy	18
b3	18
7e	18
g0	18
^ń	18
98	17
n7	17
l1	17
40	17
r3	17
m5	17
g9	17
1s	17
g8	17
z4	17
j7	16
d1	16
1n	16
ł1	16
xh	15
s3	15
x3	15
b4	15
s2	15
2a	15
f0	15
vv	15
mj	15
t7	14
b5	14
7	14
2g	14
h0	13
3x	13
v6	13
d5	13
ł2	13
4c	13
t6	13
t4	13
w1	13
89	13
45	12
y8	12
91	12
78	12
2k	12
t2	12
yó	12
60	12
ćf	12
3l	11
5	11
g1	11
2p	11
k4	11
b7	11
a2	11
k3	11
p9	11
6	11
a9	11
3r	10
49	10
l6	10
n0	10
4b	10
t9	10
h4	10
g7	10
e9	10
g5	10
n6	10
s9	10
f3	10
r7	10
4u	10
w3	10
65	9
g2	9
4r	9
bź	9
e4	9
31	9
r6	9
z3	9
85	9
iq	9
n8	8
bć	8
71	8
48	8
łł	8
w6	8
6n	8
54	8
22	8
17	8
tx	8
y1	8
1p	8
sż	8
43	8
2s	8
vh	8
75	7
v4	7
u3	7
9	7
i8	7
u1	7
l0	7
8e	7
j3	7
f5	7
v7	7
s6	7
2x	7
b8	7
9p	7
5e	7
o0	7
96	7
92	7
d0	7
z2	6
f6	6
l5	6
oq	6
pg	6
łź	6
27	6
łń	6
62	6
cb	6
l3	6
c6	6
pś	6
35	6
f2	6
l2	6
oę	6
39	6
72	6
d7	6
53	6
q3	6
a8	6
86	6
e7	6
kf	6
fp	6
e8	6
u4	6
0k	6
38	5
37	5
76	5
śż	5
g3	5
uą	5
63	5
k8	5
3p	5
d9	5
3k	5
1a	5
o3	5
z1	5
ćż	5
h3	5
e6	5
v3	5
3a	5
gc	5
uó	5
gx	5
x1	5
c8	5
2r	4
l9	4
4d	4
h7	4
n4	4
29	4
lx	4
yę	4
j1	4
z0	4
xr	4
tż	4
q4	4
nm	4
ńż	4
a4	4
80	4
żż	4
6e	4
5s	4
o1	4
57	4
81	4
c9	4
nv	4
c0	4
ćn	4
55	4
m7	4
s7	3
iy	3
o8	3
7w	3
i3	3
k7	3
84	3
2b	3
o9	3
xk	3
f8	3
42	3
t5	3
2d	3
h8	3
x4	3
0c	3
7i	3
jh	3
u9	3
w2	3
mć	3
oą	3
m9	3
6r	2
x9	2
g4	2
vd	2
2u	2
q7	2
4n	2
56	2
j4	2
cf	2
l7	2
4f	2
a6	2
xs	2
q9	2
y3	2
p6	2
qd	2
67	2
i4	2
k6	2
k0	2
q8	2
w4	2
pd	2
1o	2
4a	2
k5	2
v5	2
ż1	2
4y	2
z6	2
3n	2
61	2
59	2
ł5	2
3y	2
3i	2
b9	2
0r	2
gk	2
8s	2
f9	2
m0	2
dv	2
u5	2
a3	2
f7	2
j2	2
0s	2
8h	2
q1	2
y5	2
69	2
cg	2
6b	2
vl	2
mq	2
h9	2
