,variant1,variant2,variant3,variant4
60,hpąź,gbźb,vuxx,phlń
61,hlhą,gbśb,vuuh,phpń
62,hlfą,gbbł,vuhg,phlż
63,hlvą,gbfl,vuhl,phśp
64,0,gbpp,vuuź,phpl
65,0,gbpł,xxux,phlx
66,0,gbhp,xxuu,łghł
67,0,gbbp,xxuf,łggh
68,0,gbpń,xxuh,łgpp
69,0,gbhg,xxuź,łgpł
70,0,gbśp,pfęg,łghp
71,0,gbbć,pfęż,łgxx
72,0,gbpl,pfęź,łgpń
73,0,gbfp,pfęś,łghg
74,0,gbbl,pfóź,łgpl
75,0,gbhl,ffęg,łghl
76,0,ghżb,ffęż,ghlf
77,0,ghśb,ffęź,ghśń
78,0,ghlb,ffęś,ghgh
79,0,ghbł,ffóź,ghlp
80,0,ghbp,vvęg,ghlg
81,0,ghbć,vvęż,ghpp
82,0,ghbl,vvęź,ghpł
83,0,ppśb,vvux,ghlń
84,0,lgbł,vvuu,ghpń
85,0,lgbp,vvęś,ghlż
86,0,lgbć,vvvu,ghśp
87,0,lgbl,vvuf,ghpl
88,0,xxlb,vvuh,ghlx
89,0,hgbł,vvvę,ppff
90,0,hgbp,vvuź,pphł
91,0,hgbć,gxux,ppśń
92,0,hgbl,gxuu,ppgh
93,0,pflb,gxuf,ppfl
94,0,fflb,gxuh,pppp
95,0,vvlb,gxuź,pppł
96,0,vhżb,lxux,pphp
97,0,vhśb,lxuu,pppń
98,0,vhlb,lxuf,pphg
99,0,vhbł,lxuh,ppśp
100,0,vhbp,lxuź,pppl
101,0,vhbć,hlvu,ppfp
102,0,vhbl,hlvę,pphl
103,0,lhżb,hlóź,lghł
104,0,lhśb,0,lggh
105,0,lhlb,0,lgpp
106,0,lhbł,0,lgpł
107,0,lhbp,0,lghp
108,0,lhbć,0,lgxx
109,0,lhbl,0,lgpń
110,0,fpśb,0,lghg
111,0,gxlb,0,lgpl
112,0,lxlb,0,lghl
113,0,hpśb,0,xxlf
114,0,hlżb,0,xxff
115,0,hlśb,0,xxhł
116,0,żbff,0,xxlp
117,0,żbhł,0,xxlg
118,0,żbśń,0,xxfl
119,0,żbgh,0,xxpp
120,0,żbżb,0,xxpł
121,0,żbźb,0,xxhp
122,0,żbśb,0,xxxx
123,0,żbbł,0,xxlń
124,0,żbfl,0,xxpń
125,0,żbpp,0,xxhg
126,0,żbpł,0,xxlż
127,0,żbhp,0,xxpl
128,0,żbbp,0,xxfp
129,0,żbpń,0,xxlx
130,0,żbhg,0,xxhl
131,0,żbśp,0,hghł
132,0,żbbć,0,hggh
133,0,żbpl,0,hgpp
134,0,żbfp,0,hgpł
135,0,żbbl,0,hghp
136,0,żbhl,0,hgxx
137,0,0,0,hgpń
138,0,0,0,hghg
139,0,0,0,hgpl
140,0,0,0,hghl
141,0,0,0,pflf
142,0,0,0,pfff
143,0,0,0,pfgh
144,0,0,0,pflp
145,0,0,0,pflg
146,0,0,0,pffl
147,0,0,0,pfpp
148,0,0,0,pfpł
149,0,0,0,pflń
150,0,0,0,pfpń
151,0,0,0,pflż
152,0,0,0,pfpl
153,0,0,0,pffp
154,0,0,0,pflx
155,0,0,0,fflf
156,0,0,0,ffff
157,0,0,0,ffgh
158,0,0,0,fflp
159,0,0,0,fflg
160,0,0,0,fffl
161,0,0,0,ffpp
162,0,0,0,ffpł
163,0,0,0,fflń
164,0,0,0,ffpń
165,0,0,0,fflż
166,0,0,0,ffpl
167,0,0,0,fffp
168,0,0,0,fflx
169,0,0,0,vvlf
170,0,0,0,vvhł
171,0,0,0,vvlp
172,0,0,0,vvlg
173,0,0,0,vvhp
174,0,0,0,vvlń
175,0,0,0,vvhg
176,0,0,0,vvlż
177,0,0,0,vvlx
178,0,0,0,vvhl
179,0,0,0,vhlf
180,0,0,0,vhśń
181,0,0,0,vhgh
182,0,0,0,vhlp
183,0,0,0,vhlg
184,0,0,0,vhpp
185,0,0,0,vhpł
186,0,0,0,vhlń
187,0,0,0,vhpń
188,0,0,0,vhlż
189,0,0,0,vhśp
190,0,0,0,vhpl
191,0,0,0,vhlx
192,0,0,0,lhlf
193,0,0,0,lhśń
194,0,0,0,lhgh
195,0,0,0,lhlp
196,0,0,0,lhlg
197,0,0,0,lhpp
198,0,0,0,lhpł
199,0,0,0,lhlń
200,0,0,0,lhpń
201,0,0,0,lhlż
202,0,0,0,lhśp
203,0,0,0,lhpl
204,0,0,0,lhlx
205,0,0,0,fpff
206,0,0,0,fphł
207,0,0,0,fpśń
208,0,0,0,fpgh
209,0,0,0,fpfl
210,0,0,0,fppp
211,0,0,0,fppł
212,0,0,0,fphp
213,0,0,0,fppń
214,0,0,0,fphg
215,0,0,0,fpśp
216,0,0,0,fppl
217,0,0,0,fpfp
218,0,0,0,fphl
219,0,0,0,gxlf
220,0,0,0,gxff
221,0,0,0,gxhł
222,0,0,0,gxlp
223,0,0,0,gxlg
224,0,0,0,gxfl
225,0,0,0,gxpp
226,0,0,0,gxpł
227,0,0,0,gxhp
228,0,0,0,gxxx
229,0,0,0,gxlń
230,0,0,0,gxpń
231,0,0,0,gxhg
232,0,0,0,gxlż
233,0,0,0,gxpl
234,0,0,0,gxfp
235,0,0,0,gxlx
236,0,0,0,gxhl
237,0,0,0,lxlf
238,0,0,0,lxff
239,0,0,0,lxhł
240,0,0,0,lxlp
241,0,0,0,lxlg
242,0,0,0,lxfl
243,0,0,0,lxpp
244,0,0,0,lxpł
245,0,0,0,lxhp
246,0,0,0,lxxx
247,0,0,0,lxlń
248,0,0,0,lxpń
249,0,0,0,lxhg
250,0,0,0,lxlż
251,0,0,0,lxpl
252,0,0,0,lxfp
253,0,0,0,lxlx
254,0,0,0,lxhl
255,0,0,0,hpff
256,0,0,0,hphł
257,0,0,0,hpśń
258,0,0,0,hpgh
259,0,0,0,hpfl
260,0,0,0,hppp
261,0,0,0,hppł
262,0,0,0,hphp
263,0,0,0,hppń
264,0,0,0,hphg
265,0,0,0,hpśp
266,0,0,0,hppl
267,0,0,0,hpfp
268,0,0,0,hphl
269,0,0,0,hlff
270,0,0,0,hlhł
271,0,0,0,hlśń
272,0,0,0,hlgh
273,0,0,0,hlfl
274,0,0,0,hlpp
275,0,0,0,hlpł
276,0,0,0,hlhp
277,0,0,0,hlxx
278,0,0,0,hlpń
279,0,0,0,hlhg
280,0,0,0,hlśp
281,0,0,0,hlpl
282,0,0,0,hlfp
283,0,0,0,hlhl
