,variant1,variant2,variant3,variant4
80,stre,0,jarz,0
81,stoc,0,jant,0
82,spak,0,mana,0
83,spen,0,masz,0
84,spok,0,mast,0
85,sper,0,maza,0
86,spre,0,maja,0
87,spoc,0,mama,0
88,spin,0,mara,0
89,odko,0,mata,0
90,mnej,0,mada,0
91,mnij,0,marz,0
92,wsze,0,madz,0
93,wsko,0,mant,0
94,wska,0,masa,0
95,wste,0,moto,0
96,szem,0,most,0
97,szak,0,mono,0
98,szej,0,morz,0
99,szmi,0,modz,0
100,szko,0,mont,0
101,szne,0,wysz,0
102,szka,0,wymy,0
103,szni,0,wyst,0
104,szen,0,wyty,0
105,szwe,0,wysy,0
106,szok,0,tyst,0
107,szer,0,tywy,0
108,szed,0,pana,0
109,pisz,0,pasz,0
110,pist,0,past,0
111,pini,0,paja,0
112,znak,0,para,0
113,znej,0,pata,0
114,znij,0,pada,0
115,znok,0,parz,0
116,raka,0,pant,0
117,raca,0,pasa,0
118,racz,0,dzna,0
119,rakt,0,dzam,0
120,trem,0,dzmy,0
121,trak,0,dzaj,0
122,trze,0,dzwa,0
123,tren,0,dzas,0
124,tret,0,dzan,0
125,troc,0,dzwy,0
126,dacz,0,dzon,0
127,dakt,0,dzwo,0
128,twem,0,dzor,0
129,twej,0,roto,0
130,twim,0,rosz,0
131,noco,0,rost,0
132,nocz,0,rodo,0
133,zrez,0,rono,0
134,zrok,0,ropo,0
135,zoko,0,rowo,0
136,onko,0,roro,0
137,mycz,0,romo,0
138,waka,0,rodz,0
139,wacz,0,ront,0
140,skam,0,stam,0
141,skak,0,stym,0
142,skaj,0,stny,0
143,skra,0,staj,0
144,skaz,0,stra,0
145,skry,0,stwa,0
146,skas,0,stry,0
147,skan,0,stas,0
148,skon,0,stan,0
149,skro,0,stod,0
150,skok,0,ston,0
151,skad,0,stwo,0
152,skom,0,stat,0
153,skor,0,stro,0
154,skaw,0,stad,0
155,skar,0,stom,0
156,zesz,0,stor,0
157,zest,0,styt,0
158,zeze,0,staw,0
159,zeje,0,star,0
160,zerz,0,spra,0
161,zete,0,spry,0
162,zere,0,span,0
163,zedz,0,spod,0
164,zent,0,spon,0
165,drze,0,spro,0
166,dren,0,spad,0
167,osko,0,spom,0
168,perz,0,spor,0
169,pete,0,spar,0
170,pent,0,odno,0
171,soko,0,odrz,0
172,socz,0,odzo,0
173,okto,0,odro,0
174,okon,0,odor,0
175,okrz,0,mnym,0
176,okro,0,mnas,0
177,okor,0,wszy,0
178,swej,0,wsza,0
179,swet,0,wsty,0
180,zdem,0,wsta,0
181,zdej,0,wspo,0
182,zdne,0,wsad,0
183,zden,0,szna,0
184,zdzi,0,szam,0
185,zdez,0,szmy,0
186,zdet,0,szym,0
187,zder,0,szny,0
188,wrak,0,szaj,0
189,wrze,0,szno,0
190,wred,0,szma,0
191,wroc,0,szwa,0
192,oczo,0,szas,0
193,wesz,0,szan,0
194,west,0,szon,0
195,werz,0,szat,0
196,wete,0,szor,0
197,were,0,szyt,0
198,went,0,szar,0
199,woko,0,znam,0
200,wocz,0,znym,0
201,sene,0,znaj,0
202,sere,0,znas,0
203,sent,0,znan,0
204,rzem,0,znad,0
205,rzak,0,znaw,0
206,rzej,0,rana,0
207,rzmi,0,rasz,0
208,rzne,0,rast,0
209,rzni,0,raza,0
210,rzen,0,raja,0
211,rzez,0,rama,0
212,rzwi,0,rata,0
213,rzet,0,rawa,0
214,rzer,0,rada,0
215,rzed,0,radz,0
216,zwij,0,rant,0
217,zwin,0,rasa,0
218,opoc,0,tram,0
219,zmem,0,trym,0
220,zmni,0,trzy,0
221,zmoc,0,traj,0
222,zmin,0,trza,0
223,wcam,0,trwa,0
224,wczy,0,tras,0
225,wcza,0,tran,0
226,wczo,0,tron,0
227,resz,0,trzo,0
228,rest,0,trat,0
229,reze,0,trad,0
230,reje,0,trom,0
231,rene,0,traw,0
232,rewe,0,dana,0
233,rete,0,dasz,0
234,rent,0,data,0
235,dwok,0,dawa,0
236,sycz,0,darz,0
237,desz,0,dadz,0
238,dest,0,dant,0
239,dene,0,twam,0
240,derz,0,twym,0
241,dete,0,twor,0
242,dere,0,twar,0
243,dent,0,noto,0
244,otko,0,nosz,0
245,otok,0,nost,0
246,otoc,0,nowo,0
247,mest,0,noro,0
248,mene,0,nodz,0
249,merz,0,zras,0
250,mete,0,zran,0
251,mere,0,zrad,0
252,ment,0,zost,0
253,dnem,0,zono,0
254,dnak,0,zorz,0
255,dnej,0,zoro,0
256,dnim,0,onto,0
257,dnij,0,onno,0
258,dnoc,0,onom,0
259,wzni,0,onor,0
260,zisz,0,mysz,0
261,zist,0,wana,0
262,zini,0,wasz,0
263,ziwi,0,wara,0
264,zisi,0,wata,0
265,wpak,0,warz,0
266,wted,0,wadz,0
267,0,0,want,0
268,0,0,sana,0
269,0,0,sama,0
270,0,0,sada,0
271,0,0,sarz,0
272,0,0,sadz,0
273,0,0,dram,0
274,0,0,draj,0
275,0,0,drza,0
276,0,0,dran,0
277,0,0,drod,0
278,0,0,drat,0
279,0,0,drad,0
280,0,0,drom,0
281,0,0,draw,0
282,0,0,osto,0
283,0,0,ospo,0
284,0,0,oszo,0
285,0,0,sorz,0
286,0,0,sowo,0
287,0,0,soro,0
288,0,0,swym,0
289,0,0,zdam,0
290,0,0,zdaj,0
291,0,0,zdra,0
292,0,0,zdan,0
293,0,0,zdro,0
294,0,0,zdom,0
295,0,0,zdaw,0
296,0,0,zdar,0
297,0,0,wraz,0
298,0,0,woto,0
299,0,0,wodo,0
300,0,0,worz,0
301,0,0,woro,0
302,0,0,wodz,0
303,0,0,rzam,0
304,0,0,rzmy,0
305,0,0,rzym,0
306,0,0,rzny,0
307,0,0,rzaj,0
308,0,0,rzas,0
309,0,0,rzan,0
310,0,0,rzod,0
311,0,0,rzon,0
312,0,0,rzad,0
313,0,0,rzyt,0
314,0,0,zwym,0
315,0,0,zwra,0
316,0,0,zwan,0
317,0,0,zwod,0
318,0,0,zwon,0
319,0,0,zwro,0
320,0,0,zwar,0
321,0,0,opod,0
322,0,0,opon,0
323,0,0,oprz,0
324,0,0,opro,0
325,0,0,opor,0
326,0,0,zmat,0
327,0,0,zmaw,0
328,0,0,zmar,0
329,0,0,dwaj,0
330,0,0,dwra,0
331,0,0,dwan,0
332,0,0,dwod,0
333,0,0,dwro,0
334,0,0,dwad,0
335,0,0,dwom,0
336,0,0,dwor,0
337,0,0,syst,0
338,0,0,syny,0
339,0,0,otno,0
340,0,0,otrz,0
341,0,0,otwo,0
342,0,0,otom,0
343,0,0,otor,0
344,0,0,anam,0
345,0,0,anad,0
346,0,0,anaw,0
347,0,0,anar,0
348,0,0,dnym,0
349,0,0,dnaj,0
350,0,0,dnor,0
351,0,0,wzaj,0
352,0,0,wzno,0
353,0,0,wzma,0
354,0,0,wzra,0
355,0,0,wzro,0
356,0,0,wzmo,0
357,0,0,wzor,0
358,0,0,pysz,0
359,0,0,wpra,0
360,0,0,wpro,0
361,0,0,wpad,0
362,0,0,wtor,0
363,0,0,wtar,0
